id,text,edit_history_tweet_ids
1872917536586777059,"Delete 3 Teams Forever!
Which 3 teams would YOU erase from football history?🧐
From #Barca to #0Bayern #PSG to #RealMadrid – it’s the ultimate football dilemma! 

📝 Drop your picks and tag your friends for the debate!👇

#Barcadi #Makhadzi #Rodri #Messi #Bristol #chidimma https://t.co/2mIjYBnahx",1872917536586777059
1872915053827264994,"🚨🎯⌛📄🤝🔥🔝✅👀💣✍️⚠️

@JesusVallejo to @RealSociedad

HERE WE GO!

#announcevallejo #RealSociedad #RealMadrid https://t.co/40jSUdejTt",1872915053827264994
1872914477613797500,"Cristiano Ronaldo shows his support for Real Madrid! 🤍👑  

#CristianoRonaldo #RealMadrid #Football https://t.co/1WjbaoQwQ0",1872914477613797500
1872910463572558285,"🗣️ Courtois after receiving Career Award:

""I got a Career Award tonight... but remember, there's A LOT of Courtois TO COME""

💪 Belgian keeper eyes comeback. #RealMadrid

Follow @jameskingtips for more updates ⚡️ https://t.co/K2IFR5NAhL",1872910463572558285
1872909871840157727,"🌟 Jude Bellingham dominates Globe Soccer Awards:

◉ Best Young Player of 2023
◉ Fans' Player of the Year

19 years old. Running the show. #RealMadrid 👑

Follow @jameskingtips for more updates ⚡️ https://t.co/eqJFyhPjnk",1872909871840157727
1872909709348368439,Real Madrid : Alexander-Arnold a averti Liverpool de son choix ! https://t.co/vrpteT7z5c #HalaMadrid #RealMadrid #RMFans #RMUCL #LaLiga #HalaMadridYNadaMas #Mbappé #KylianMbappé #KM7 #Mbappe2024,1872909709348368439
1872909607527690257,"By Ronaldo,s own logic Messi should have Dubai d'Or in 2011 because he scored in UCL final and won it with Barcelona #Ronaldo #Messi #RealMadrid #Barcelona https://t.co/LCU0OQ04kw",1872909607527690257
1872909587185299736,"🎯 Ronaldo knows Real Madrid:

""NEVER consider Real Madrid dead, they always come back...""

👑 CR7's warning. #RealMadrid

Follow @jameskingtips for more updates ⚡️ https://t.co/XZwWUqvPAJ",1872909587185299736
1872908836446847031,"🏆 Vinicius Jr's Dubai double:

◉ Best Young Player of 2023
◉ Fans' Player of the Year

✨ Recognition for Real Madrid star. #RealMadrid

Follow @jameskingtips for more updates ⚡️ https://t.co/LpooEp9Ur2",1872908836446847031
1872903206965264704,"Lutheran church Hyderabad
#USDT #Liverpool  #Israel #Russia #DOGE  #Bitcoin   #SouthKorea  #ค่าไฟแพง #H1B  #BangladeshiHindus  #zelena   #PAKvsSA #INDvsAUS #Indians #Primeminister 
#IncredibleIndia  #BangChan #BTS #ラヴィット #Kohli #shailenzo #SquidGame2  #RealMadrid #AAA2024 https://t.co/u9Up47tucR",1872903206965264704
1872901647829221637,"Trent Alexander-Arnold to Real Madrid is almost there. Shocking move from you Trent, boyhood club and you leave on a free. Hope you do a Coutinho 👍
#liverpool #realmadrid",1872901647829221637
1872898427128037484,"Jude is special man, the way he carries himself &amp; puts the entire team on his back at such a young age shows true character. Great to see Cristiano still, as always has the balls to say it how it is and rip FIFA a new one in front of millions of people.
#RealMadrid #GlobeSoccer https://t.co/XF3AeClU49",1872898427128037484
1872897107134476375,"Trent Alexander Arnold to Real Madrid? If you can't beat them, join them, huh? Feels like KD joining the Warriors except this time, we're beating them and you'll regret this move for the rest of your life.

#TrentAlexanderArnold #RealMadrid""",1872897107134476375
1872896733577134272,"🤩 Jude Bellingham named Best Midfielder and awarded the Maradona Award at the Globe Soccer Awards!
🤩 ¡Jude Bellingham, Premio Globe Soccer al mejor centrocampista y Premio Maradona 2024!#RealMadrid https://t.co/6UqQXb5YUB",1872896733577134272
1872896468635533822,"🌟 Real Madrid, Globe Soccer Award for the Best Men’s Club of 2024!
🌟 ¡El Real Madrid, Premio Globe Soccer al mejor club de 2024!
#RealMadrid https://t.co/yhNKCcQMi9",1872896468635533822
1872896315497275844,"👔 ¡Carlo Ancelotti, Premio Globe Soccer al mejor entrenador de 2024!
👔 Carlo Ancelotti, Globe Soccer Award for the best coach of 2024!
#RealMadrid https://t.co/BinaB8ixWL",1872896315497275844
1872896156940026028,"🚨 Real Madrid 4-2 Sevilla 

2 Rocket 🚀 Goals ⚽️ From Mbappe 🇫🇷 &amp; Valverde 🇺🇾

.
.
.

#trending #fifapacks   #eafc25 #eafcleaks #eafcratings #eafcheros #eafclegends  #eafc25fut #eafc25ratings #eafcpacks #wwc #winterwildcard #mbappe #valverde #realmadrid #sevilla https://t.co/8eajUT3ivx",1872896156940026028
